model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,3,2019,2012,2019,2022,2019,accurate,3.4203760623931885,12.0,-6.5796239376068115,2.0
full,42,3,2019,2012,2019,2022,2019,achieving,1.4865480661392212,34.0,-12.513451933860779,20.0
full,42,3,2019,2012,2019,2022,2019,acknowledgements,1.3402562141418457,6.0,-3.6597437858581543,1.0
full,42,3,2019,2012,2019,2022,2019,acquisition,0.03204791247844696,9.0,0.03204791247844696,9.0
full,42,3,2019,2012,2019,2022,2019,action,11.521793365478516,281.0,-245.47820663452148,24.0
full,42,3,2019,2012,2019,2022,2019,activism,0.6219702959060669,15.0,-5.378029704093933,9.0
full,42,3,2019,2012,2019,2022,2019,activities,17.734317779541016,40.0,-16.265682220458984,6.0
full,42,3,2019,2012,2019,2022,2019,activity,18.643579483032227,29.0,-26.356420516967773,-16.0
full,42,3,2019,2012,2019,2022,2019,adaptation,5.463589668273926,20.0,-20.536410331726074,-6.0
full,42,3,2019,2012,2019,2022,2019,adaptive,14.444783210754395,18.0,-6.5552167892456055,-3.0
full,42,3,2019,2012,2019,2022,2019,addressing,3.252946138381958,8.0,-5.747053861618042,-1.0
full,42,3,2019,2012,2019,2022,2019,aden,2.897935390472412,0.0,-5.102064609527588,-8.0
full,42,3,2019,2012,2019,2022,2019,adoption,16.758197784423828,37.0,-17.241802215576172,3.0
full,42,3,2019,2012,2019,2022,2019,adults,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,advanced,20.52298355102539,30.0,-13.47701644897461,-4.0
full,42,3,2019,2012,2019,2022,2019,advances,16.998361587524414,49.0,-15.001638412475586,17.0
full,42,3,2019,2012,2019,2022,2019,advances in,9.749162673950195,20.0,-6.250837326049805,4.0
full,42,3,2019,2012,2019,2022,2019,advancing,1.2907414436340332,18.0,-7.709258556365967,9.0
full,42,3,2019,2012,2019,2022,2019,advantages,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,advertising,3.5946297645568848,32.0,-6.405370235443115,22.0
full,42,3,2019,2012,2019,2022,2019,africa,31.10787010192871,242.0,-187.8921298980713,23.0
full,42,3,2019,2012,2019,2022,2019,african,10.250362396240234,51.0,-38.749637603759766,2.0
full,42,3,2019,2012,2019,2022,2019,afterword,3.57667875289917,1.0,-7.42332124710083,-10.0
full,42,3,2019,2012,2019,2022,2019,against,5.619994163513184,11.0,-12.380005836486816,-7.0
full,42,3,2019,2012,2019,2022,2019,age of,25.047574996948242,143.0,-93.95242500305176,24.0
full,42,3,2019,2012,2019,2022,2019,agencies,3.252946138381958,9.0,-5.747053861618042,0.0
full,42,3,2019,2012,2019,2022,2019,agenda,25.308246612548828,149.0,-26.691753387451172,97.0
