model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,1,2019,2012,2019,2020,2019,in the middle east,47.161563873291016,181.0,-117.83843612670898,16.0
full,42,1,2019,2012,2019,2020,2019,政策,55.13379669189453,161.0,-109.86620330810547,-4.0
full,42,1,2019,2012,2019,2020,2019,软实力,54.3028564453125,175.0,-110.6971435546875,10.0
full,42,1,2019,2012,2019,2020,2019,marketing,55.792396545410156,217.0,-108.20760345458984,53.0
full,42,1,2019,2012,2019,2020,2019,religious,58.714210510253906,153.0,-104.2857894897461,-10.0
full,42,1,2019,2012,2019,2020,2019,country,56.23577880859375,144.0,-105.76422119140625,-18.0
full,42,1,2019,2012,2019,2020,2019,islam,61.76455307006836,166.0,-100.23544692993164,4.0
full,42,1,2019,2012,2019,2020,2019,urban,52.503334045410156,187.0,-109.49666595458984,25.0
full,42,3,2019,2012,2019,2022,2019,旅游,153.44798278808594,4242.0,-2877.552017211914,1211.0
full,42,3,2019,2012,2019,2022,2019,tour,144.64804077148438,3857.0,-2748.3519592285156,964.0
full,42,3,2019,2012,2019,2022,2019,文化,142.80499267578125,2521.0,-1561.1950073242188,817.0
full,42,3,2019,2012,2019,2022,2019,nation,142.22474670410156,2266.0,-1340.7752532958984,783.0
full,42,3,2019,2012,2019,2022,2019,遗产,135.7828369140625,1698.0,-1215.2171630859375,347.0
full,42,3,2019,2012,2019,2022,2019,阿拉伯,116.30525970458984,784.0,-713.6947402954102,-46.0
full,42,3,2019,2012,2019,2022,2019,发展,120.60411071777344,907.0,-635.3958892822266,151.0
full,42,3,2019,2012,2019,2022,2019,目的地,115.81678771972656,1036.0,-569.1832122802734,351.0
full,42,3,2019,2012,2019,2022,2019,world,116.49996185302734,627.0,-567.5000381469727,-57.0
full,42,3,2019,2012,2019,2022,2019,view,120.20547485351562,1100.0,-551.7945251464844,428.0
full,42,3,2019,2012,2019,2022,2019,rate,114.3597412109375,894.0,-521.6402587890625,258.0
full,42,3,2019,2012,2019,2022,2019,city,110.24375915527344,755.0,-524.7562408447266,120.0
full,42,3,2019,2012,2019,2022,2019,研究,118.8276138305664,901.0,-475.1723861694336,307.0
full,42,3,2019,2012,2019,2022,2019,艺术,120.10552978515625,992.0,-440.89447021484375,431.0
full,42,3,2019,2012,2019,2022,2019,site,112.59471130371094,670.0,-441.40528869628906,116.0
full,42,3,2019,2012,2019,2022,2019,image,110.2743148803711,783.0,-426.7256851196289,246.0
full,42,3,2019,2012,2019,2022,2019,社会,110.56700897216797,727.0,-412.43299102783203,204.0
full,42,3,2019,2012,2019,2022,2019,media,110.55992889404297,588.0,-407.44007110595703,70.0
full,42,3,2019,2012,2019,2022,2019,search,115.13652801513672,797.0,-401.8634719848633,280.0
full,42,3,2019,2012,2019,2022,2019,work,111.4146957397461,623.0,-382.5853042602539,129.0
