source,target,weight
Huang,Zheng,2
Oren,Shani,2
Oren,Poria,2
Poria,Shani,2
Castellucci,Leech,2
Castellucci,Lentini,2
Leech,Lentini,2
Lacey,Peel,2
Hellebuyck,Verhoeven,2
Delannoy,Thomas,2
Coccoli,Tanghetti,2
Arenghi,Tanghetti,2
Arenghi,Coccoli,2
Dragouni,Fouseki,2
Jaafar,Rasoolimanesh,2
Gelbman,Laven,2
Al-Homoud,Al-Oun,2
Affleck,Kvan,2
Graham,Vergunst,2
Koščak,O’Rourke,2
Paul,Roy,2
Lev Ari,Mittelberg,2
López,Quintero Venegas,2
Kline,López,2
Kline,Quintero Venegas,2
Mazzamuto,Picone,2
Xu,Yang,2
Wall,Yang,2
Peng,Zhang,2
Devi,Kumar,2
Bhatt,Kumar,2
Basheer,Mir,2
Hu,Wei,2
Garg,Singh,2
Liu,Lu,2
Esmaeelbeigi,Shafiee Roodposhti,2
Guo,Lu,2
Chen,Zou,2
Zheng,Zou,2
Farooq,Reshi,2
Saha,Srivastava,2
Bai,Zhang,2
Aneja,Sharma,2
Yu,Zhu,2
Atkinson,Kennedy,2
Wang,Ye,2
Sun,Zhu,2
Cutchin,Smith,2
Rockwood,Smith,2
Saad,Smith,2
Ahmad,Anwar,2
Ahmad,Ali,2
Ahmad,Elwardy,2
Gamage,Herath,2
Gamage,Hapangama,2
Gamage,Soyza,2
Wang,Yuan,2
Le,Phan,2
Ha,Le,2
Chun,Kim,2
Amal,Ranga,2
Nagarjuna,Ranga,2
Ruan,Zeng,2
Ruan,Zhang,2
Li,Ruan,2
Khunasathitchai,Shukla,2
Khunasathitchai,Yadav,2
Hall,Torabi,2
Chen,Tang,2
Gong,Lu,2
Gong,Tang,2
Lu,Tang,2
Pham,Pham,2
Le,Tran,2
Nguyen,Tran,2
Le,Nguyen,2
Banerjee,Quintela,2
Banerjee,Magano,2
Magano,Quintela,2
Jwa,Kang,2
Ghazali,Kamaruzaman,2
Tavares,Vieira,2
Chaimowicz,Vieira,2
Chaimowicz,Tavares,2
Wu,Zhang,2
Kuang,Ma,2
Yuan,Zhang,2
Zaenal,Zhang,2
Dong,Hu,2
Chen,Hu,2
Femenia-Serra,Gretzel,2
Ong,Sun,2
Ito,Ong,2
Ito,Sun,2
Archi,Gajdošík,2
Aksionova,Correia,2
Correia,Mendonça,2
Asyraff,Hanafiah,2
Chen,Qi,2
Dutta,Kumar,2
Banerjee,Dutta,2
Banerjee,Kumar,2
Nguyen,Nguyen,2
Liu,Tseng,2
Chusap,Zhang,2
Errichiello,Micera,2
Choi,Lee,2
Choi,Jamal,2
Banerjee,Chakraborty,2
Oruç Erdoğan,Özdemir,2
Erdoğan,Özdemir,2
Durmuş Özdemir,Özdemir,2
Feliciani,Shimura,2
Feliciani,Nishinari,2
Nishinari,Shimura,2
Choon Loy,Zhao,2
Dellepiane,Scopigno,2
Callieri,Scopigno,2
Geng,Zhou,2
Geng,Wu,2
Georgiev,Mitreva,2
Maïm,Thalmann,2
Ortiz,Tirado,2
Candusso,Pyle,2
Arnaoutoglou,Koutsoudis,2
Chamzas,Koutsoudis,2
Arnaoutoglou,Chamzas,2
Geng,Zhang,2
Colosi,Orazi,2
Green,Hess,2
Gavalas,Kasapakis,2
Dzardanova,Kasapakis,2
Dzardanova,Gavalas,2
Gil-Docampo,Ortiz-Sanz,2
Cheng,Ch’ng,2
Ahmedin Jemal,Freddie Bray,1
Ahmedin Jemal,Jacques Ferlay,1
Ahmedin Jemal,Elizabeth Ward,1
Ahmedin Jemal,David Forman,1
Elizabeth Ward,Freddie Bray,1
David Forman,Freddie Bray,1
Elizabeth Ward,Jacques Ferlay,1
David Forman,Jacques Ferlay,1
David Forman,Elizabeth Ward,1
Carlos Guestrin,Tianqi Chen,1
Andrew F. Hayes,Kristopher J. Preacher,1
Nazneen Aziz,Sue Richards,1
Sherri J. Bale,Sue Richards,1
David Bick,Sue Richards,1
Soma Das,Sue Richards,1
Nazneen Aziz,Sherri J. Bale,1
David Bick,Nazneen Aziz,1
Nazneen Aziz,Soma Das,1
David Bick,Sherri J. Bale,1
Sherri J. Bale,Soma Das,1
David Bick,Soma Das,1
Alessandro Liberati,Cynthia D. Mulrow,1
Alessandro Liberati,Peter C Gøtzsche,1
Cynthia D. Mulrow,Jennifer Tetzlaff,1
M Abraham,Teemu J. Murtola,1
M Abraham,Roland Schulz,1
M Abraham,Szilárd Páll,1
Jeremy C. Smith,M Abraham,1
Roland Schulz,Teemu J. Murtola,1
Szilárd Páll,Teemu J. Murtola,1
Jeremy C. Smith,Teemu J. Murtola,1
Roland Schulz,Szilárd Páll,1
Jeremy C. Smith,Roland Schulz,1
Jeremy C. Smith,Szilárd Páll,1
Paul J. McMurdie,Susan Holmes,1
Matthew D. Kearse,Richard Moir,1
Amy Wilson,Matthew D. Kearse,1
Matthew D. Kearse,Steven Stones-Havas,1
Matthew Cheung,Matthew D. Kearse,1
Amy Wilson,Richard Moir,1
Richard Moir,Steven Stones-Havas,1
Matthew Cheung,Richard Moir,1
Amy Wilson,Steven Stones-Havas,1
Amy Wilson,Matthew Cheung,1
Matthew Cheung,Steven Stones-Havas,1
Mohammad Abbasi,Theo Vos,1
Cristiana Abbafati,Stephen S Lim,1
Kaja Abbas,Stephen S Lim,1
Mohammad Abbasi,Stephen S Lim,1
Cristiana Abbafati,Mohammad Abbasi,1
Kaja Abbas,Mohammad Abbasi,1
Jonathan A C Sterne,Miguel A. Hernán,1
Barnaby C Reeves,Jonathan A C Sterne,1
Jonathan A C Sterne,Nancy D Berkman,1
Barnaby C Reeves,Miguel A. Hernán,1
Jelena Savović,Miguel A. Hernán,1
Miguel A. Hernán,Nancy D Berkman,1
Barnaby C Reeves,Jelena Savović,1
Barnaby C Reeves,Nancy D Berkman,1
Jelena Savović,Nancy D Berkman,1
Seyed Mohammad Mirjalili,Seyed Mohammad Mirjalili,1
Andrew Lewis,Andrew Lewis,1
Mark D. Wilkinson,Michel Dumontier,1
IJsbrand Jan Aalbersberg,Mark D. Wilkinson,1
Gabrielle Appleton,Mark D. Wilkinson,1
Mark D. Wilkinson,Myles Axton,1
IJsbrand Jan Aalbersberg,Michel Dumontier,1
Gabrielle Appleton,Michel Dumontier,1
Michel Dumontier,Myles Axton,1
Gabrielle Appleton,IJsbrand Jan Aalbersberg,1
IJsbrand Jan Aalbersberg,Myles Axton,1
Gabrielle Appleton,Myles Axton,1
Bryan R. Haugen,Erik K. Alexander,1
Bryan R. Haugen,Keith C. Bible,1
Bryan R. Haugen,Gerard M. Doherty,1
Bryan R. Haugen,Susan J. Mandel,1
Erik K. Alexander,Keith C. Bible,1
Erik K. Alexander,Gerard M. Doherty,1
Erik K. Alexander,Susan J. Mandel,1
Gerard M. Doherty,Keith C. Bible,1
Keith C. Bible,Susan J. Mandel,1
Gerard M. Doherty,Susan J. Mandel,1
Stephen A. Bustin,Vladimı́r Beneš,1
Jeremy A. Garson,Stephen A. Bustin,1
Jan Hellemans,Stephen A. Bustin,1
Jim F. Huggett,Stephen A. Bustin,1
Jeremy A. Garson,Vladimı́r Beneš,1
Jan Hellemans,Vladimı́r Beneš,1
Jim F. Huggett,Vladimı́r Beneš,1
Jan Hellemans,Jeremy A. Garson,1
Jeremy A. Garson,Jim F. Huggett,1
Jan Hellemans,Jim F. Huggett,1
Jørgen Vestbo,Suzanne S. Hurd,1
Jørgen Vestbo,Àlvar Agustí,1
Jørgen Vestbo,Paul Jones,1
Claus Vogelmeier,Jørgen Vestbo,1
Suzanne S. Hurd,Àlvar Agustí,1
Paul Jones,Suzanne S. Hurd,1
Claus Vogelmeier,Suzanne S. Hurd,1
Paul Jones,Àlvar Agustí,1
Claus Vogelmeier,Àlvar Agustí,1
Claus Vogelmeier,Paul Jones,1
Berk Hess,Carsten Kutzner,1
Berk Hess,David van der Spoel,1
Berk Hess,Erik Lindahl,1
Carsten Kutzner,David van der Spoel,1
Carsten Kutzner,Erik Lindahl,1
David van der Spoel,Erik Lindahl,1
Christopher J L Murray,Kevin S Ikuta,1
Christopher J L Murray,Fablina Sharara,1
Christopher J L Murray,Lucien R Swetschinski,1
Christopher J L Murray,Gisela Robles Aguilar,1
Fablina Sharara,Kevin S Ikuta,1
Kevin S Ikuta,Lucien R Swetschinski,1
Gisela Robles Aguilar,Kevin S Ikuta,1
Fablina Sharara,Lucien R Swetschinski,1
Fablina Sharara,Gisela Robles Aguilar,1
Gisela Robles Aguilar,Lucien R Swetschinski,1
David C. Aron,Laura J. Damschroder,1
Laura J. Damschroder,Rosalind E. Keith,1
Laura J. Damschroder,Susan Kirsh,1
J Alexander,Laura J. Damschroder,1
David C. Aron,Rosalind E. Keith,1
David C. Aron,Susan Kirsh,1
David C. Aron,J Alexander,1
Rosalind E. Keith,Susan Kirsh,1
J Alexander,Rosalind E. Keith,1
